transaction_id,sale_date
TXN0149,2024-09-08
TXN0150,2024-08-21
TXN0151,2024-07-07
TXN0152,2024-03-08
TXN0153,2024-11-06
TXN0154,2024-01-20
TXN0155,2024-03-14
TXN0156,2024-01-24
TXN0157,2024-07-10
TXN0158,2024-11-06
TXN0159,2024-06-08
TXN0160,2024-08-07
TXN0161,2024-12-11
TXN0162,2024-08-13
TXN0163,2024-05-11
TXN0164,2024-11-19
TXN0165,2024-06-03
TXN0166,2024-06-05
TXN0167,2024-01-26
TXN0168,2024-07-11
TXN0169,2024-08-20
TXN0170,2024-11-26
TXN0171,2024-04-04
TXN0172,2024-09-02
TXN0173,2024-03-04
TXN0174,2024-10-06
TXN0175,2024-11-28
TXN0176,2024-11-27
TXN0177,2024-09-15
TXN0178,2024-01-28
TXN0179,2024-09-30
TXN0180,2024-06-23
TXN0181,2024-10-31
TXN0182,2024-06-08
TXN0183,2024-03-29
TXN0184,2024-04-29
TXN0185,2024-11-04
TXN0186,2024-03-02
TXN0187,2024-01-21
TXN0188,2024-07-23
TXN0189,2024-07-04
TXN0190,2024-03-22
TXN0191,2024-02-12
TXN0192,2024-04-26
TXN0193,2024-05-15
TXN0194,2024-04-12
TXN0195,2024-02-22
TXN0196,2024-01-07
TXN0197,2024-05-28
TXN0198,2024-12-18
TXN0199,2024-05-25
TXN0200,2024-05-17
TXN0201,2024-05-31
TXN0202,2024-10-24
TXN0203,2024-01-02
TXN0204,2024-03-28
TXN0205,2024-04-24
TXN0206,2024-03-10
TXN0207,2024-07-09
TXN0208,2024-09-05
TXN0209,2024-09-09
TXN0210,2024-01-24
TXN0211,2024-12-23
TXN0212,2024-12-16
TXN0213,2024-05-27
TXN0214,2024-11-22
TXN0215,2024-10-17
TXN0216,2024-04-23
TXN0217,2024-05-09
TXN0218,2024-10-27
TXN0219,2024-09-20
TXN0220,2024-05-01
TXN0221,2024-02-03
TXN0222,2024-06-27
TXN0223,2024-02-07
TXN0224,2024-10-12
TXN0225,2024-02-19
TXN0226,2024-04-18
TXN0227,2024-10-02
TXN0228,2024-08-30
TXN0229,2024-04-30
TXN0230,2024-10-24
TXN0231,2024-07-04
TXN0232,2024-04-15
TXN0233,2024-01-11
TXN0234,2024-04-25
TXN0235,2024-02-04
TXN0236,2024-02-05
TXN0237,2024-01-21
TXN0238,2024-08-30
TXN0239,2024-04-14
TXN0240,2024-11-09
TXN0241,2024-08-25
TXN0242,2024-10-02
TXN0243,2024-01-24
TXN0244,2024-03-20
TXN0245,2024-09-07
TXN0246,2024-06-14
TXN0247,2024-11-05
TXN0248,2024-03-02
TXN0249,2024-09-01
TXN0250,2024-10-02
TXN0251,2024-05-09
TXN0252,2024-05-29
TXN0253,2024-07-19
TXN0254,2024-03-14
TXN0255,2024-07-26
TXN0256,2024-12-28
TXN0257,2024-11-29
TXN0258,2024-08-30
TXN0259,2024-04-22
TXN0260,2024-05-03
TXN0261,2024-05-03
TXN0262,2024-01-03
TXN0263,2024-06-15
TXN0264,2024-02-12
TXN0265,2024-01-11
TXN0266,2024-01-30
TXN0267,2024-09-09
TXN0268,2024-06-01
TXN0269,2024-02-27
TXN0270,2024-11-19
TXN0271,2024-09-27
TXN0272,2024-12-30
TXN0273,2024-06-12
TXN0274,2024-05-13
TXN0275,2024-06-28
TXN0276,2024-04-18
TXN0277,2024-06-14
TXN0278,2024-02-07
TXN0279,2024-12-26
TXN0280,2024-08-20
TXN0281,2024-10-22
TXN0282,2024-01-08
TXN0283,2024-11-03
TXN0284,2024-09-27
TXN0285,2024-12-08
TXN0286,2024-09-12
TXN0287,2024-07-31
TXN0288,2024-12-07
TXN0289,2024-07-28
TXN0290,2024-10-11
TXN0291,2024-04-26
TXN0292,2024-07-07
TXN0293,2024-10-28
TXN0294,2024-12-12
TXN0295,2024-12-01
TXN0296,2024-12-25
TXN0297,2024-01-08
TXN0298,2024-02-15
TXN0299,2024-11-28
TXN0300,2024-08-28
TXN0301,2024-06-05
TXN0302,2024-01-04
TXN0303,2024-02-23
TXN0304,2024-07-07
TXN0305,2024-02-29
TXN0306,2024-01-15
TXN0307,2024-12-17
TXN0308,2024-11-07
TXN0309,2024-10-01
TXN0310,2024-04-02
TXN0311,2024-10-19
TXN0312,2024-11-20
TXN0313,2024-08-11
TXN0314,2024-01-06
TXN0315,2024-10-05
TXN0316,2024-09-26
TXN0317,2024-02-25
TXN0318,2024-08-25
TXN0319,2024-02-17
TXN0320,2024-06-16
TXN0321,2024-08-25
TXN0322,2024-01-21
TXN0323,2024-06-01
TXN0324,2024-02-26
TXN0325,2024-05-01
TXN0326,2024-07-29
TXN0327,2024-05-08
TXN0328,2024-12-28
TXN0329,2024-10-17
TXN0330,2024-10-21
TXN0331,2024-03-21
TXN0332,2024-12-28
TXN0333,2024-06-03
TXN0334,2024-12-20
TXN0335,2024-06-05
TXN0336,2024-11-16
TXN0337,2024-07-20
TXN0338,2024-06-09
TXN0339,2024-12-02
TXN0340,2024-04-16
TXN0341,2024-08-26
TXN0342,2024-09-24
TXN0343,2024-12-25
TXN0344,2024-04-08
TXN0345,2024-04-13
TXN0346,2024-03-12
TXN0347,2024-04-21
TXN0348,2024-06-30
TXN0349,2024-04-28
TXN0350,2024-02-19
TXN0351,2024-06-07
TXN0352,2024-05-09
TXN0353,2024-07-27
TXN0354,2024-11-20
TXN0355,2024-05-10
TXN0356,2024-04-30
TXN0357,2024-08-01
TXN0358,2024-01-07
TXN0359,2024-06-23
TXN0360,2024-02-25
